College grounds,Diameter breast height (cm),Colour (B/RB/G),Height (cm),Bird bites,Rodent bites,Insect bites,Snail marks,All Bites,"missing, fallen"
Pembroke,100,B,30,1,0,3,0,4,
Pembroke,100,RB,30,2,0,2,0,4,
Pembroke,100,G,30,1,0,3,0,4,
Pembroke,100,B,45,1,0,5,0,6,
Pembroke,100,RB,45,0,0,2,0,2,
Pembroke,100,G,45,1,0,2,0,3,
Pembroke,100,B,60,0,0,0,0,0,missing
Pembroke,100,RB,60,0,0,1,0,1,
Pembroke,100,G,60,1,0,3,1,5,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Pembroke,25,B,30,0,1,1,2,4,
Pembroke,25,B,45,0,2,0,0,2,
Pembroke,25,B,60,1,0,0,1,2,
Pembroke,25,RB,30,0,0,0,0,0,missing
Pembroke,25,RB,45,0,1,2,0,3,
Pembroke,25,RB,60,1,0,3,1,5,fallen
Pembroke,25,G,30,0,1,4,0,5,fallen
Pembroke,25,G,45,1,0,5,0,6,
Pembroke,25,G,60,1,1,3,0,6,fallen
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Newnham,120,B,30,0,0,0,0,0,missing
Newnham,120,RB,30,0,0,0,0,0,missing
Newnham,120,G,30,0,0,0,0,0,missing
Newnham,120,B,45,0,0,0,0,0,missing
Newnham,120,RB,45,0,0,0,0,0,missing
Newnham,120,G,45,0,0,0,0,0,missing
Newnham,120,B,60,0,0,0,0,0,missing
Newnham,120,RB,60,0,0,0,0,0,missing
Newnham,120,G,60,0,0,0,0,0,missing
,,,,,,,,,
Girton,120,B,30,3,0,1,0,4,
Girton,120,RB,30,0,1,3,7,11,
Girton,120,G,30,0,0,0,0,0,missing
Girton,120,B,45,0,1,12,0,13,
Girton,120,RB,45,1,1,1,6,9,
Girton,120,G,45,0,0,0,0,0,missing
Girton,120,B,60,0,3,5,7,15,
Girton,120,RB,60,1,1,2,3,7,
Girton,120,G,60,0,0,0,0,0,missing
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Pembroke,100,B,30,1,0,2,0,3,fallen
Pembroke,100,G,30,1,2,3,0,6,
Pembroke,100,RB,30,1,0,1,0,2,
Pembroke,100,B,45,0,1,6,0,7,fallen
Pembroke,100,G,45,1,1,6,0,8,fallen
Pembroke,100,RB,45,0,0,0,1,1,
Pembroke,100,B,60,1,0,3,0,4,
Pembroke,100,G,60,0,0,3,0,3,fallen
Pembroke,100,RB,60,1,0,1,0,2,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Clare,100,B,30,0,1,0,2,3,
Clare,100,RB,30,0,0,2,3,5,fallen
Clare,100,G,30,0,0,4,7,11,
Clare,100,B,45,0,1,1,1,3,
Clare,100,RB,45,0,1,2,2,5,
Clare,100,G,45,2,3,5,3,13,fallen
Clare,100,B,60,0,0,0,1,1,
Clare,100,RB,60,0,0,1,1,2,
Clare,100,G,60,1,1,6,0,8,fallen
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
St Catharine's ,47,G,15,0,0,10,0,10,
St Catharine's ,47,G,45,0,0,4,0,4,
St Catharine's ,47,G,60,0,0,10,0,10,
St Catharine's ,47,B,15,1,0,5,0,6,
St Catharine's ,47,B,45,1,0,3,0,4,
St Catharine's ,47,B,60,0,0,0,0,0,missing 
St Catharine's ,47,RB,15,0,0,2,0,2,
St Catharine's ,47,RB,45,0,0,3,0,3,
St Catharine's ,47,RB,60,0,0,2,0,2,
,,,,,,,,,
